fidelity,integrity,capability
0.7230534483284694,0.8812887757487694,0.5206142033590831
0.8976767743655473,0.6478192028645288,0.8269858356233143
0.28890246958738297,0.90471432941959,0.24860699299678923
0.3014755946888812,0.6697977059674503,0.9175473778217267
0.3590143025275341,0.11587918858357882,0.609325713625439
0.24953141776772791,0.26180791921461743,0.6402970896740677
0.8281283905903742,0.9115573253527403,0.12408545222860856
0.7163075200170592,0.7195991093521683,0.2837576402816945
0.9887449295318698,0.39806940225968035,0.8075921050630057
0.8730922279447619,0.3128230910262857,0.1582215306937954
0.907303452875946,0.9058116104396474,0.17306350482757815
0.9428237463098382,0.42439501419703596,0.37232954438244614
0.8223907181359764,0.03701471095453068,0.6091733666862972
0.870985734253384,0.9757063905748067,0.6864915497440404
0.6565035594808502,0.2458368263184454,0.7934981463229909
0.8842613305874805,0.5560857535252556,0.39207310868657785
0.8988070622089055,0.5922957045589402,0.35892395747890815
0.4654556254617782,0.9901346168044751,0.17946838988318936
0.4993374257897256,0.07285100520478771,0.6713359421235736
0.8444593533518268,0.9920767698788759,0.7302958977952422
0.45445552019659197,0.8901321574778349,0.6810423561219604
0.5893488407864663,0.11653443413823994,0.270739602262589
0.04255475731378655,0.4985031942502094,0.7791550552560309
0.7154365976093502,0.5044042937251284,0.19015069539162
0.1882956487924311,0.20844417813186,0.13989416232343133
0.8931903463529609,0.9185869912882368,0.9024060127316195
0.013370381918021645,0.6712501470053328,0.5878591470553831
0.9752920949413794,0.9099092511234087,0.5742614383907239
0.8681821070458672,0.10976015183492194,0.8289282728542938
0.3449410074221355,0.6982110138448442,0.5025949710172661
0.3542418961728986,0.9983988303014991,0.608621179725473
0.3142158374439624,0.8540841635501857,0.8180997516421035
0.7343269108659681,0.6124657588211828,0.26549349590843896
0.35693546037685164,0.9654971957263981,0.5291806862217295
0.8465647441904938,0.19134780744483681,0.5173728357198071
0.7558421202186757,0.930396327135681,0.4294039344948367
0.28277993442355764,0.8935198879509233,0.5145706040997381
0.4075682526833322,0.779265045641872,0.912999253884457
0.4466738968374683,0.31926187651629956,0.7601059478171968
0.8609179092849254,0.5312573029203126,0.984539033486657
0.3042947464980035,0.012525218180514552,0.7394344011284552
0.16635665417280932,0.757874096932723,0.4977114219491242
0.29373937819966567,0.8743909484628581,0.08297496704832952
0.7186492957001993,0.7485833022483732,0.8563800304432697
0.7064123407337198,0.6498132587698708,0.7174198253553259
0.9481995519112119,0.6774955821729237,0.25478495839181037
0.14288816425091433,0.33927484177744605,0.05691858014481321
0.5666187357445708,0.31088859736280683,0.09013262446014947
0.5801368334008644,0.012599239749246816,0.523521456040164
0.5250847025710527,0.5325229404812902,0.5567160293605384
0.5419537202158172,0.5391718587569561,0.0669088573251474
0.5436713161255621,0.8261721790143445,0.44088929778661645
0.5859546463357664,0.03299995202434225,0.6220521961121752
0.20913937887661949,0.11364186854861869,0.12019450898359951
0.3321921165435312,0.6793642168761709,0.9942933082871683
0.07254837194710595,0.8117615401171822,0.706314828737044
0.09473016570514237,0.9267036393454039,0.6441276812226057
0.24048316304207162,0.09655746157395373,0.13127438280002335
0.1243734228508826,0.31043915904350006,0.19509966159713443
0.3145555125190017,0.7878440226216811,0.5825676104904847
0.051354712660027,0.9947917956855391,0.3432647771615187
0.9120851382558192,0.6803497059484314,0.02209086220590295
0.9694715388303314,0.39228768066126973,0.25256096983165577
0.15487729008098272,0.25048957154145934,0.251441995354193
0.6289820161266506,0.2109435084802077,0.18207933016074684
0.6268633987967196,0.5468928474870624,0.0869169817857448
0.420183597725027,0.11331720971769066,0.0002744860069995303
0.9150965895841908,0.7925719228684639,0.6508383645889538
0.6174616008199018,0.31923162156498774,0.18328556057121426
0.6688226239356788,0.3617974595349809,0.27221298233532376
0.8405741873303832,0.09932235765711683,0.8178056633312031
0.21110643711358923,0.12659340216864268,0.03464332809638104
0.7612366298591492,0.4090170934589652,0.9652999847629817
0.8667212554131319,0.32141073444555013,0.955428503115377
0.9866227249941798,0.24897750336472413,0.7723259938793929
0.8700078064487851,0.5840070824773919,0.9760460986092852
0.0044778027826346545,0.22989998747174367,0.6514043281396249
0.5158535384304077,0.537957281187836,0.25883339803155325
0.6099226197706517,0.39649294911005406,0.7555396717194243
0.28962716155911394,0.3486375820766269,0.07241058904073394
0.00862548966552501,0.05494684400872152,0.9383659526808762
0.7782687837218287,0.7009880637507968,0.6016982529862738
0.8461893375765197,0.3992359619732674,0.7977723397816767
0.01689071785259144,0.8569748595666247,0.26565070648070466
0.26535849273240775,0.5259964753967681,0.690047822665305
0.7617076574625222,0.6241332516832492,0.6874543155567868
0.9646009202461989,0.4319590893223396,0.20064013147574322
0.6380420333252873,0.6693298068185838,0.857262529065621
0.7618007568933349,0.952058465126728,0.1759987915271899
0.33283987959828176,0.013899036851344304,0.6608924465805384
0.8760121289439423,0.1216649440294375,0.6025943501321577
0.17142187892152183,0.327091673808651,0.8443992542432857
0.9150272132696471,0.3651461338019254,0.9737762260813148
0.6055867865850588,0.9101950503663445,0.5120639516571802
0.12571060083730556,0.9903448243435501,0.5464480550442915
0.6581859268678695,0.12868299507528935,0.3450675864444158
0.037485011742077745,0.14091368609614674,0.6978853163093112
