baseline,after
0.7676019009753843,0.733079837235583
0.27938247977296815,0.9762707092770121
0.17810330679731823,0.2869879676222996
0.40160088669012295,0.31607811133360664
0.6233703767483995,0.13681982916184654
0.22029558721486875,0.7789524995436042
0.3997955253529769,0.3099293890802042
0.1971676517612056,0.035956288767060696
0.3488619315233942,0.5394666188185868
0.8116689467678635,0.12585168893553156
0.4389491683363329,0.14980419149836588
0.33835794262653074,0.8552724666912495
0.7312190905831724,0.1254797718111268
0.6241937235138207,0.6216591298399712
0.15201117992354718,0.6342251835704028
0.3860841426553666,0.9178889034494976
0.6987154267955545,0.10200311758064184
0.25817472773693495,0.899855293776817
0.8464326239333686,0.8825965596024394
0.9947920675166753,0.9060391869606923
0.5251522429604917,0.36870960716457246
0.5982586102139547,0.7128600740640357
0.6915129117417481,0.0918578207653945
0.9065551720380858,0.39458292049740784
0.7067262693986068,0.39454418122981183
0.15746413126385037,0.01921769089683034
0.45183249255187596,0.12973905068867353
0.9983624621271994,0.5374908486340503
0.933363600325757,0.2074177959178155
0.8784498841996112,0.2332365440189319
0.37167395034663886,0.5081525537950201
0.6920686963869775,0.12158782553657321
0.9774604313057669,0.024615510746588742
0.6428455930369258,0.6045656754597624
0.48344825283798576,0.29806430963453245
0.3029982321047048,0.6050312471091422
0.6730069170844452,0.381735062593625
0.576475113334138,0.8214468815915008
0.28954468774196673,0.5124696821934572
0.634988611924223,0.5765865296946966
0.9740876834915603,0.6458032001728935
0.802653504863431,0.8503542662836314
0.5487654414065425,0.6096419356360714
0.5981105749912964,0.6274552364430986
0.803843653014984,0.16668386526205403
0.37529905928974616,0.1381942740151617
0.7481316529302632,0.21412619845889003
0.3263901735228678,0.06976726215664752
0.6823194695524312,0.49035904645157613
0.31793989094639585,0.24899870107032052
0.3233076573725745,0.6727037321757559
0.6108825412367503,0.4749332887257567
0.8300880403165439,0.41621233350790166
0.25383515477074026,0.4286413476405164
0.9181815162652811,0.01795024303010051
0.41100239457786536,0.7261093461724852
0.46386372863350345,0.7299598869764997
0.8250240568114139,0.7442479654240095
0.7794825686521321,0.7769727977732088
0.6567668738823264,0.06410715033473269
0.4889829777099851,0.05918934844195367
0.9642754133709147,0.3705038947553285
0.9992057208126659,0.9889997818386338
0.8598770813420874,0.021186011526330262
0.8879706488068461,0.11209525306105028
0.8126267429426479,0.715550347249769
0.9055623259960977,0.006738639654364942
0.47972569288499667,0.7319550084130412
0.9910402069279044,0.07512281900035123
0.7000328231687029,0.7088049666123956
0.6088257890311866,0.6236091200676569
0.7085077042016709,0.8194127541760146
0.7359813256421055,0.09757472569959624
0.21736940548142908,0.5507009198636463
0.7906508702951851,0.22049056828557856
0.905348916300458,0.24573349657823562
0.550269171675364,0.9336413872589927
0.9402983384242137,0.6099088720501158
0.9261082350575262,0.8005049836906177
0.5597094190297816,0.09975415058984793
0.4067197497869296,0.9624806091177284
0.17840910298483886,0.2956629316827447
0.7561853124054869,0.4045806831194376
0.6387068373319359,0.8997977086244104
0.3220298184942882,0.1345641693832218
0.24311463106489717,0.8633691730593691
0.30591079547398253,0.0788641371122285
0.41106926418200773,0.8635077653273409
0.9253164078727618,0.4933082596505661
0.6899360153947068,0.2331293855038732
0.7719172334636268,0.34212869364144927
0.3610556127702462,0.7324854715224569
0.2090760263078964,0.7391071741364479
0.5795032932093517,0.31751539530232886
0.48545952138894766,0.12429792719965693
0.5095415913917762,0.5263788969545875
0.33622962473881823,0.8582801807126463
0.9989875948130271,0.2096268526755406
0.3944254186535531,0.24003695463567343
0.8552743626782375,0.3879683167264786
0.5530659349797267,0.8103223063718029
0.46717147248534086,0.5285525866143205
0.4981073964810815,0.8846078761631887
0.7945893667258596,0.7133130613582814
0.3379505256264098,0.670954987826602
0.4002055564567517,0.1208094419136927
0.86207098463803,0.30033241884041884
0.28141453881203043,0.27085488069927266
0.5360796246066897,0.7704335033733158
0.825601768207823,0.27754131311031704
0.8374890178357786,0.3629786157855245
0.6528948689826167,0.0676428884110517
0.9996821713814223,0.23091192905648517
0.4545516093388746,0.011435491618204119
0.13519736817001915,0.7766267967232688
0.7132404375700437,0.6937956314984458
0.9450780360163261,0.09460724723525937
0.7190338298466747,0.31277078229080146
0.6758872699599453,0.2662570896702
0.469212755341362,0.7954520818179314
0.3741238944979418,0.3069001098571803
0.47704213709312926,0.7247080135943886
0.45570393420116617,0.8449400704300584
0.3140692476720809,0.3099309021886273
0.8079131186464341,0.1561149785969871
0.7615659288171595,0.9851021150085565
0.17681186893979203,0.01915067293826711
0.9574000687160161,0.5310690364005155
0.12166578528414017,0.5431585291711625
0.5437284693256104,0.5351992464951912
0.19558086181772485,0.10600097194477676
0.827546868618725,0.4629777078646591
0.4873897549054915,0.03953899012563622
0.8179454451994553,0.47827719651686107
0.6708423895282013,0.35696373364594547
0.5655519801507841,0.5269756144141602
0.8101357221347794,0.45499234480319395
0.3430738141022645,0.48909355778700025
0.39145706174636596,0.154060057473572
0.4565295927352605,0.31061946373263727
0.3346996116382712,0.2383490139507759
0.4396123016365905,0.9096786218874604
0.5205490472284287,0.8679816557274642
0.14459894310866728,0.4227398215744964
0.2530903830745663,0.5297037507101936
0.5810945859168221,0.061828934006588177
0.17113941413727168,0.038179857034765674
0.45955489313248143,0.5445948337235679
0.11699354378392021,0.40537559483528374
0.1593470720115794,0.42703285787234757
0.6845557309450937,0.38369813098548144
0.4812788254703255,0.6353007324394756
0.8576246942048695,0.1297513667735224
0.11538463299082602,0.7168456969221219
0.6386795544345912,0.11926741146843167
0.6349924299896483,0.21308208279019325
0.7588858026582579,0.15316522667318877
0.15387663384790132,0.012226142212442226
0.5591433481420901,0.433927176712707
0.7540447113044311,0.2517059720988065
0.8581692064224221,0.3547047391846909
0.15683044676573651,0.9526676216825143
0.3524117319770568,0.006369849306471553
0.8045709920670582,0.5400426325044987
0.9309482699742953,0.9787015759361555
0.4255823502195155,0.10045620558319368
0.5149233875040379,0.7487877182853004
0.8113498660337918,0.005686389601222808
0.4368774370768962,0.22197356739654672
0.8720073858958102,0.2499825542687093
0.3198161875980936,0.12733919242056024
0.5860968695372071,0.6604096357052686
0.6995638110563844,0.07618224117833716
0.8532711205472416,0.6375555183847841
0.3737779294234247,0.5903987896076778
0.561690151244557,0.6085974199133292
0.788598881381857,0.6481629691273924
0.6798219653980057,0.4193305141583582
0.44717644363719455,0.980958834349853
0.45224427681736834,0.6770819039871377
0.8022739054452163,0.4849761660679638
