consistency,integrity,conflict
0.37049898160927186,0.18961710603317283,0.31609157992432046
0.6955953397378881,0.48058677772978653,0.8932489116318097
0.18119239198257175,0.825005029501888,0.354338186347254
0.6418342820704743,0.42911083142547524,0.6023640583895795
0.6856076421879138,0.4438048395757854,0.6740343880723191
0.30475736491137373,0.4957144934147112,0.9854715048261878
0.8147342827283032,0.17942701372096637,0.8781518029096566
0.630192511686021,0.5327766991392656,0.19680914506018132
0.7630246774451706,0.014618710851335703,0.5121248122917131
0.3116511727739306,0.09975940489301494,0.3623753074012033
0.31675439246329196,0.8038867086123631,0.9909563148611726
0.19112273871797159,0.10459906731720403,0.3643272546698344
0.9105971987686895,0.7251780936495272,0.09554428178211094
0.6717489592689285,0.05543471484231122,0.7522751445173883
0.6605192614619143,0.7927170216353276,0.4626913732320207
0.9123467509282509,0.41044115452174734,0.4311817407849583
0.2961761641302013,0.1531273198148866,0.4541910515165287
0.09608743637800643,0.8036398654818094,0.9687822557422774
0.7803813170912065,0.30507674222021464,0.4356819211116034
0.8342963522594734,0.062164660532828875,0.2160593658244344
0.1658737483713124,0.13537142181245254,0.5093066935023882
0.4300038791744838,0.27535466760199656,0.3040725062329305
0.47902527952628393,0.951711256092286,0.2770314834679689
0.8950894342117828,0.44988089620198835,0.3952467207344449
0.8758720006141965,0.44994577655301704,0.6298200198508555
0.8285375346581498,0.5076021723512241,0.6767722533331956
0.7385641454733027,0.3105443432209919,0.8652632898121921
0.7284723382359872,0.22810599140837218,0.05684267002218468
0.26529768447867863,0.6893581759274429,0.7868812759237825
0.4216278428658605,0.6493112331722941,0.9652010432281002
0.35160892436026725,0.6469193425645312,0.8731174965664472
0.32011804528146137,0.8166164406858903,0.5499590578096598
0.8578009839985806,0.5096882418133641,0.8624874145497552
0.09574850986229089,0.0681173386247732,0.9526722388856834
0.9748263202932552,0.16643170776115002,0.28344546761874745
0.290596471582255,0.2170482981200852,0.38397093940725324
0.19189612631058695,0.18492503271667593,0.9582117677207054
0.5284542207554613,0.6946993484004281,0.8621734231594793
0.9589054420021534,0.7442979992489986,0.2327577943864061
0.5575421220177393,0.8746693019630024,0.12748918335484316
0.5226829690436054,0.3341495716557332,0.1374367568876831
0.22164520352564532,0.5044955261946887,0.14602919903322975
0.3964121855438164,0.3520754170161464,0.9196067785724877
0.2470671120032113,0.1783462419181251,0.9016309907139086
0.9713385405449694,0.6460045671586527,0.5100573133740213
0.07430177451688569,0.7010004360222999,0.2762233343801209
0.9158112197010513,0.9319643199266251,0.7080853658501515
0.8518673124762437,0.9797253784703481,0.24875080785167825
0.3451549402507824,0.931324871917319,0.9136250887552456
0.0672226604916466,0.23731461175658053,0.45827543849067476
0.8609150581766347,0.29847295980200583,0.27156862471982046
0.8431361681263195,0.8902767431003142,0.4861630872571313
0.5521109224999633,0.8637240380569823,0.5901087458676231
0.579648606649367,0.33970031463290307,0.017289924517859045
0.17914160881115215,0.302285021108342,0.7065725332239986
