baseline_utility,new_utility
0.36782264273249354,0.6475108112594715
0.2339859072176692,0.9177187021468493
0.9515472770955388,0.8705014343208499
0.10667275241337326,0.0438190475361685
0.8948485864766614,0.7422188935096382
0.034162986781065,0.4767360016216067
0.05935236440229552,0.24179677376880193
0.5559555943410451,0.5221334496586659
0.6341298372584515,0.34116788502388185
0.022696184135643338,0.8746631953116636
0.6023891899935458,0.8777874055439046
0.22425654799548123,0.3375122846380635
0.0891168953108411,0.31416082553922375
0.6771131437302778,0.2509065510441386
0.28083670158902796,0.3068835875412206
0.7416641342725592,0.3561052126202582
0.18059147508524453,0.9683559163092406
0.08719606389800505,0.2048762246548419
0.7136748087186474,0.3794748785072598
0.620846469164745,0.24535583849491127
0.09796273731678362,0.3704145191842544
0.2763858791224293,0.2840964900030636
0.6648854346640795,0.5146149058726535
0.7868762158569748,0.4061912142117018
0.9745815064958101,0.16579857691248856
0.8264959483595548,0.9986718980639337
0.936620794339891,0.46860546949826143
0.9505435663313855,0.5090984835326368
0.956478753865954,0.0732352356848488
0.25033249420676673,0.9517579920759769
0.4572222329568376,0.7514640345351223
0.7451231484946979,0.3323284659154342
0.45544765195824954,0.47060126089164644
0.3071656184842151,0.6888538329074405
0.516667403538999,0.12661981844416614
0.7831258777835847,0.5909507432054995
0.39340663004082654,0.32191314928107573
0.04284251915009851,0.10840724910471833
0.4762922912535418,0.1863248791700226
0.08438816046570441,0.5122729946087192
0.8341106657836567,0.4487990894308873
0.11187584464511235,0.9025251151538657
0.8764742436828002,0.4640122282817367
0.8375366480822153,0.7602765455684802
0.06211582589411291,0.17055426561003284
0.1296693274023183,0.8085704045932883
0.5726744220786338,0.6374500194385174
0.20222782634376557,0.5453776536422748
0.3382342330312512,0.26586535636769737
0.26864382119427743,0.5609276811792994
0.8108557141185879,0.48690682382813244
0.7817538900655034,0.17202999161226307
0.552868671762091,0.9575935350887402
0.9263304746167728,0.7091443723713018
0.5066566747308183,0.4267290000105879
0.5998322267927694,0.5003934830540413
0.6955878003506365,0.8827385468516334
0.9526745135759908,0.5848573296563055
0.1745785521198263,0.22034243954543586
0.04885201213617141,0.4193314240077354
0.2237329569237374,0.7005156298676918
0.3488843272416505,0.8785844077258891
0.5763943416979684,0.4738910264152044
0.6957587119188133,0.8155915517753972
0.49943570503898904,0.1768650167909267
0.06428643077796126,0.30868322330392417
0.709588320805439,0.931486774094523
0.11381760382490413,0.8070041758756866
