rho,previous,instantaneous
0.8602196570964362,0.6270003610315282,0.3898958596451786
0.20679998152397638,0.6725491175742689,0.5584827265352039
0.14974529690388272,0.3224837107374987,0.16354926248630797
0.6888033717060806,0.1695276426591512,0.9976553375238268
0.2906240472398286,0.018979952970201608,0.4510920090454952
0.17944612209669641,0.9446908628828176,0.884467208601182
0.4379934742130174,0.8973946273638894,0.36221271745281947
0.23400822324259896,0.94780238836465,0.44055031276623735
0.6217475674459871,0.8831555832191447,0.07231166179859894
0.4523297401415983,0.8464487214785303,0.38740151443010384
0.8571240744151758,0.12363436008487838,0.8570651328491553
0.07127458682693699,0.18523082483837905,0.5251320805890083
0.9261858892637115,0.24856646428124896,0.09791962672924237
0.32112572044125054,0.3444915760192555,0.3535003582237133
0.706447134953135,0.16667786533661566,0.36728142596690827
0.34698351681896256,0.42855404749051396,0.9330879204662962
0.9857666838183216,0.5269851679548283,0.0536917996038212
0.17031511069802852,0.38052825899631193,0.7218912683940534
0.2237544130979926,0.42753969380085444,0.6259152670542736
0.2643442048655773,0.486052725021763,0.36318400901080394
0.9622868502339623,0.4076862121459346,0.8590461861640262
0.5424973374067334,0.5250858416101738,0.24220782672084074
0.8320988976800807,0.7656572543015272,0.07356731722323084
0.28187234464038524,0.45190646912105925,0.543584493053215
0.6842083380526359,0.873446832360618,0.6967861222881135
0.3046261638501486,0.2762255727896451,0.5914532943237296
0.7466397098063793,0.7807202593145419,0.46314056453855035
0.37416658995854624,0.6221447329301522,0.02508376356249331
0.41398995915856807,0.6372263346779999,0.006475946927451681
0.39802852131853295,0.23853339846959098,0.01539664954779385
0.6709516226639015,0.3952762299447611,0.32083784489693423
0.7737884574359151,0.17878312447139477,0.8903149388442797
0.4052369926317707,0.6641960302957938,0.4738431648287471
0.04379829895487786,0.06663777624265887,0.9038905887247127
0.09583146778869711,0.7972780082274938,0.4879904277916307
0.16492518566005832,0.7940682024492548,0.31204756222022967
0.817313703717203,0.650880153557228,0.6161812983380971
0.7909894213029602,0.7583402975819575,0.8901157100868358
0.24132968238673624,0.965656446487166,0.4530977282905665
0.27887317435640857,0.27028373121304516,0.251124474938888
0.11573298135080423,0.40997889995771886,0.8523153170865329
0.02746649114561328,0.3199082547536404,0.7600017163608735
0.6929874135856902,0.14762423363817412,0.6939728266206896
0.3580291509219664,0.4387154250312493,0.22922108182334833
0.29584045796063985,0.3047075122485394,0.5115515678070188
0.2746336887616688,0.8050440062057621,0.4816363769898112
0.9156581700680662,0.7325330000082103,0.011650067596095881
0.14518563614573265,0.10467266830141819,0.6036267796893244
0.27920001055904076,0.9647021934974209,0.954755430722338
0.4590253035872087,0.11708195391912857,0.6564953112400247
0.6337518262098399,0.413622481218181,0.12282505392543308
0.7206401473984068,0.25508840967194224,0.3413104916779316
0.5122713103543094,0.19489160444333786,0.8745069398252185
0.05527601242697788,0.8885558111000679,0.9130633661583606
0.8679476660311394,0.577200828909272,0.08980928056571558
0.034881176136673187,0.38515232727643767,0.8516367683461538
0.6215147555310189,0.3153496924412218,0.05774404855351012
0.38846864919431023,0.36980811810660374,0.2890300945382711
0.5705978581675312,0.4987652502986176,0.0655229137041149
0.20844079379470504,0.061919719104636006,0.606306126500137
0.5302066678601105,0.09374318358318545,0.01754186157625537
0.3956014860904803,0.021792190583744375,0.9011779155793441
0.9498719391599584,0.495430441559367,0.8027115832628884
0.3652125537840657,0.3029878496164683,0.8736942131984798
0.7674727973226723,0.896337583241077,0.6016813035377208
0.7507052747357655,0.8316122160036591,0.8802643126054505
0.47028771271360414,0.07445754882725464,0.4963203015523988
0.9406837715030358,0.7663395328053537,0.6772985258404793
0.139116214794354,0.5602586795689659,0.26467975276724365
0.4095877183490907,0.09858610494470288,0.32305895460105505
0.7326827594775919,0.20838154980461576,0.8097958042677226
0.7475436169635992,0.02819010252910681,0.10522418812801837
0.27694070572311036,0.35181553182073977,0.4454697871924277
0.8268523121174479,0.8689475051786407,0.25173815304709635
0.06476769279874106,0.9143727559602196,0.8030568627182366
0.7611970690866993,0.9668786996099407,0.5535678891212404
0.6488019679999967,0.5008521734493054,0.7925448030390725
0.20766320718144227,0.7930717461803726,0.7522342769855925
0.5591606430683909,0.9519104223753516,0.01767160195360551
0.30705539808057924,0.9814486536128786,0.6053848732986522
0.5501420141692708,0.9183836530414524,0.5589637707266133
