state,susceptibility,incoming_target
0.24082633757622085,0.23678468331437386,0.7212940834535748
0.8267152609214121,0.9836351872724783,0.518928690464247
0.30125672681237825,0.04964666324317657,0.6457755966969524
0.6810684043214228,0.5480502483181361,0.9875309111726069
0.8741454678299678,0.45786443849695924,0.025875531639841798
0.4722976565358762,0.9950713562457723,0.517558835089744
0.9410870330628641,0.04726358473580916,0.6783093770255564
0.03138389374790329,0.7020977962767736,0.7296782314484698
0.24969200121459423,0.28187113226954763,0.354708224099026
0.10397217307071427,0.037413797680308836,0.06199341659944724
0.8308792900010714,0.21446978205650835,0.18988768386027466
0.21381029372818727,0.10154970176969857,0.8559620538014728
0.9135371145618797,0.5749693945252855,0.14928846564885911
0.7596346896452674,0.1609528792550876,0.6988808130382929
0.5938217159222966,0.36410329524575713,0.6734447340735092
0.41229520636237527,0.7665373978139564,0.5445754379585176
0.08301052798235542,0.5181821558717873,0.5293095576870401
0.31395606935833964,0.5002247162516952,0.10329938815281803
0.8005144858009882,0.4764822422332782,0.8180678352503834
0.8006037747919348,0.40225996158928257,0.8129348644536225
0.9842797503040464,0.26264842633101027,0.7839327354383201
0.0288574745872906,0.7383516967424937,0.9166578319183455
0.6518152909670899,0.0694776165035359,0.7221680932496208
0.3786971880307439,0.8723304192925024,0.7879474921472185
0.9079508182598397,0.8167635743280754,0.1764583631041211
0.061607445385577275,0.5746867722565288,0.7285015304715684
0.8791628534524681,0.16364480628897926,0.04531624526319611
0.880037822097171,0.27555132415873873,0.11273566152604642
0.3983448721799454,0.878680332909904,0.18432808387254573
0.2987331497685487,0.9541817644283219,0.9721074280321136
0.3492331070846817,0.2178254452903744,0.7926065105667123
0.500042517816068,0.5866980824956597,0.3869938934044893
0.14921917766208626,0.27947350221547673,0.0777504866120069
0.49355806220842247,0.7589217747086623,0.3758596925050852
0.8193825163103085,0.055361440982832244,0.15817777004121503
0.6892951033467083,0.7729867721085633,0.2893810410975023
0.7398277996177859,0.8294826279460427,0.13819923908305742
0.3707202454766563,0.5043647869096288,0.7741226785614216
0.905646101255489,0.7370378866877425,0.9715881206557854
0.377016957777738,0.7412108866278333,0.8596509026788663
0.6869746806673619,0.9499018872764537,0.4832871754432908
0.46443776510235746,0.14560765923438035,0.7377665226571386
