demand,queue,capacity
7.41501568616603,9.66632283740694,4.333272264397266
3.9993623824592794,0.23800045034265915,8.525247312312601
5.296588215773829,5.773197542199999,2.57833023303205
6.154267198074251,8.115913658338547,5.568376521782845
8.529951786316163,9.172889175047848,1.4405884015991022
6.911954306136287,2.160886056396756,0.3177931039353221
4.008117386384685,4.996034729548273,9.699475777192871
7.169026667332876,4.924120582181183,9.099606170637514
1.8675961119209672,7.8274941777419205,0.9922977099557717
4.158550641479533,3.948607319224806,2.704375941784213
7.844947002954738,8.380480846186805,4.0779526442811065
4.842605319971972,3.6038959964155213,2.3128825096968555
0.5151523124507784,1.040392652890838,1.0400333380377724
3.942345819608719,1.3172559272368656,1.1255095341028631
9.922485066869672,7.871582339982222,1.812037601877532
1.060588941664774,4.226868006672401,7.742126888633757
0.2507831179251985,7.146546008088848,5.330947094897854
4.0369829300134565,9.906261162020128,3.626116194575074
4.638612339338378,9.498734328248164,8.896144138280398
7.90766598442556,2.914381800253565,8.716582878717396
8.040542027543836,7.860132057658693,3.550156952393899
4.348030395959725,5.068056323705179,0.11347259096801787
4.875690150057609,6.125208336846708,9.794390610493274
9.076057197352968,0.5797417058847809,3.6780164930504586
2.8617003124785825,8.781250855811253,1.4122971596185963
6.6351172067997775,3.942879150860339,9.175747913261741
5.017201901269895,4.335395636360362,7.941427170947834
3.0417861120628906,7.2851688658707925,2.7719552422368867
8.984798617996184,5.948446278839848,3.5000363048841185
1.60491547118488,5.508127125383453,8.964433614523315
8.287355549084968,7.527776908256328,2.678468509247516
0.4938781324327801,2.1237350621896525,3.574985152894179
8.31293930774334,8.068687877599164,0.248762714178824
1.659746495127975,3.1976141300070484,7.775937030890855
6.5363231781506546,3.967027785291778,1.6420135603877528
3.880514730890546,0.067038972077621,9.539997129210375
2.4900771994415583,5.721830116753669,8.434312725671374
3.8647508372707016,2.9194213894816947,8.995125994284379
4.065942803422705,5.710094933446074,3.17875209322409
0.08219120738124919,5.400770771724654,8.150898336275716
3.5114129785651684,5.296821936754585,7.7806774301224895
9.336424224451212,9.419604973668989,5.740960441321113
4.503859699786021,0.667390693162635,5.287297269083398
4.593892891607805,6.183050857238296,3.31852615399809
9.178889058104037,8.0701832622132,6.4051722824228206
9.135223380865693,9.594278736154303,9.284630253637475
1.5632198458357216,7.970554891720109,6.266423938800559
8.065634340434283,7.0519583410722255,3.1266294757662605
5.592179003796271,1.7949879880253228,5.810422885682622
2.737288561269339,3.2871602125317123,8.541777306041489
3.9710701703558318,8.889063170079494,5.723345722185633
5.063204127324919,9.710476754777575,1.1765471054225674
2.6030582085840748,5.9610329785876495,5.625298300923756
1.874663307637554,6.472086344538511,6.613440529584295
3.0379988393926114,8.911872823077719,5.101208522055227
2.481663114377274,7.401744624500122,0.0869620113887426
8.165340283184563,1.5024095783681435,0.5793719602177128
2.04660780965472,5.72714873897726,5.139021976278567
8.085623807054281,1.0708086840822983,9.441687523477189
8.802957298764593,6.367391928159229,5.575241638538118
7.836025953170505,4.738252729780903,4.734747965254691
1.1170347547379156,4.404545214685144,1.0520195635155027
