damaged,adapted,cost
0.603306219564209,0.6581733819196776,0.44843304142290097
0.1308637774980803,0.6047853879514355,0.5890733624461212
0.2587213262539653,0.3653279772695718,0.11565180136005064
0.47140536348512124,0.6644348674869466,0.431800769068477
0.331378436606596,0.591310194550947,0.6955480086198481
0.7214447611735446,0.7293256565929105,0.5399132985819486
0.015682835715421107,0.3461140029258972,0.20914066364673145
0.4155419078927204,0.8073337363477595,0.3916259271636616
0.661140247145068,0.8454308370456654,0.44650165594947844
0.7556686292039299,0.5223553218025387,0.9222445587068275
0.11192559776387406,0.1686496405816118,0.16495683019670077
0.2035616036760377,0.4982289182756212,0.6264007851511842
0.18542633379132312,0.8415826746826094,0.11381759390013467
0.17717152494893798,0.8412849939177861,0.35802669324182457
0.5670771377467244,0.10056350256305802,0.8041887003234642
0.221598456113792,0.42113865847657495,0.3695080800133055
0.3789704636336122,0.9725113325012459,0.32657794412866203
0.35435305123749017,0.1596764968679696,0.7214999538918742
0.546686930905268,0.14925080271333635,0.8182247696853017
0.4807538662374928,0.4922291611198423,0.2023207794409883
0.012909031105161173,0.033239125574016426,0.1785260891879108
0.14273619148132816,0.6869686015546084,0.7766875144387265
0.5965110940098853,0.4773339447011202,0.5726674975559829
0.7013878045842338,0.627401389130168,0.7895603835754529
0.25091582694990494,0.5378986812404738,0.4265980757219954
0.239314907799011,0.6832426478019349,0.23687490837519218
0.1969986480588286,0.295117471509346,0.5047344100744812
0.4300095035232671,0.6748074601102506,0.6553107306319161
0.05875004340036947,0.6111880853534047,0.47170141891764683
0.5047132187122089,0.8773481992127599,0.3494094689752354
0.2550761259820026,0.6974771205195831,0.31590057024052476
0.6780770257003066,0.7221383853723605,0.35262446412855053
0.4929173141545083,0.3137259746920157,0.3460830658546169
0.32785272585404207,0.8768316750958078,0.8449690162780871
0.7297257362561131,0.8297733878315672,0.7585753964804178
0.7531435993765765,0.570890206248125,0.13035524440776716
0.11662659198600496,0.4147114051123645,0.14095329538988838
0.5450724754321437,0.11674077600266175,0.9375523305919325
0.5256941557343744,0.6373956098304975,0.543759819038269
0.290820510109365,0.7172107289532872,0.6725446491148321
0.7539499275226698,0.19090144907681195,0.4617999272693134
