health,alpha,incoming
0.022365836545576778,0.42738290464484396,0.28025020292024383
0.3162609842221017,0.48039781569618245,0.2529101551897026
0.514917132306048,0.3045427091903492,0.6924908877006597
0.3371110142971936,0.9208335499204181,0.3263213228984143
0.6105396391312314,0.9978180371792212,0.5170325772223805
0.8489879071672258,0.3164861054608614,0.7927766867466586
0.5594433460228627,0.6720745276521733,0.7842431238821824
0.09893296990624068,0.4885394952791773,0.3522241424561299
0.16287267011620576,0.25620332293898984,0.22698899923854554
0.551569884897428,0.4770213370846613,0.03622862258805948
0.6082533823086774,0.05435198093054572,0.7476986759585894
0.47900255813642756,0.5917837188705896,0.8662833996928356
0.08887496291176211,0.6335845328524519,0.8248471870286836
0.0813798987257961,0.00415577777226217,0.10453401090877257
0.5483424150753128,0.5973370233411076,0.535726026070328
0.9681848324660414,0.6257687755558238,0.27537784201618276
0.6493077367138712,0.892061762186874,0.5966043515537088
0.48065445884915337,0.4776511398294002,0.5831975934401635
0.20717588212233995,0.3976959748028994,0.905743150785244
0.4781879212966599,0.0040050200101192646,0.9003619958189334
0.882688384921568,0.548668218904804,0.43415799159812907
0.9935348490072617,0.7684095363770913,0.14017751327431205
0.8499061867793847,0.12773680396025067,0.19270735023581975
0.48770951949781804,0.30798203869866747,0.9826046928868156
0.02460823592342265,0.30642180700471633,0.3091485095660452
0.02187039598666185,0.06793512540885471,0.7719164026673916
0.7085667480857921,0.9858029178843493,0.9985949663177311
0.735161984517818,0.6143578024423505,0.8444659518158482
0.19377300860686042,0.6354100607107704,0.1135415613287778
0.7547026011686829,0.022366431863164116,0.5737018543764539
0.05610499581632933,0.3061221170322368,0.9867459664765823
0.5352496074083184,0.14264979519010512,0.03496163407824693
0.43315603840981864,0.7414616982525135,0.6469314904249294
0.7726755279100285,0.36687690784137317,0.13371742815142473
0.6641420755705004,0.4554427826040487,0.6620288919657181
0.11811235855177016,0.07291239957047024,0.7307392002563872
0.2709304485597618,0.8960560525704451,0.008710710385653964
0.050346376072124666,0.9098286474049011,0.9187241376436537
0.9081496946795292,0.8688876522591444,0.5715431336690721
0.33299246734143007,0.23284236618813192,0.851466124112304
0.6019784972194908,0.6440874520070456,0.44664809652653903
0.048294007607392,0.5809591646122425,0.4978166044913195
