distance,rarity,replication
0.2757462420648169,0.41054754107271585,0.39406310922250043
0.7572235884950572,0.575725627827095,0.37523665982754906
0.4075699510161098,0.4500736760187869,0.3650335000976137
0.5990056965696026,0.3152312512999226,0.9294125263515661
0.27458127646919406,0.16968303070348112,0.9497012403690226
0.36524278233412755,0.795490463348941,0.8094873601289018
0.5008038137132084,0.35119542850095486,0.8695506511730917
0.6565667842066518,0.8815229593559183,0.05964575131532723
0.2047203959455478,0.43231062212177684,0.6578514124893492
0.6556985663890317,0.7264479334850132,0.845501523004681
0.060437448423764195,0.20183682267781167,0.5436947628595796
0.5159137621960369,0.8729933287912366,0.5330906760384988
0.9781583883689955,0.6940656710418478,0.3256438019684832
0.8057224439387463,0.9432659588464405,0.3952509718168933
0.6217057168607939,0.3756373736628291,0.042031004900376034
0.7892115330722551,0.43509620241894365,0.13275264356392447
0.1314854737272395,0.6932545984181596,0.2117271475789123
0.030325232025230964,0.19305859171610174,0.6604332365015484
0.07684260845404378,0.7994105086581537,0.18668347889120418
0.052114867625313366,0.23413609001870084,0.9194716967018964
0.7224522714584488,0.5753872206470163,0.04146551997658943
0.18840678488091145,0.03726455265259854,0.9451475164122337
0.540677585684296,0.6135360848022073,0.37910007019492076
0.07424545932010296,0.02894913145323097,0.21501210846937657
0.8488279818513368,0.14233376512530427,0.38834412057076517
0.4728458753063477,0.7240581038176659,0.556538582748609
0.22277114345398674,0.413991056665559,0.9631006133895637
0.5646052050359426,0.12823675156506908,0.8721261652856814
0.48235374590813407,0.688831031601096,0.20294246191392018
0.439869528525459,0.7724514824218524,0.7478009525799142
0.6567114774764218,0.30387766670600314,0.9251700772363934
0.014854862167039573,0.5087896825966643,0.7739743124912056
0.971792743388659,0.5758315360158894,0.17764599402989734
0.26877676487802715,0.14782899769318925,0.5196809205694829
0.6336902197179067,0.5983957633181484,0.6916326318178347
0.3306193065717268,0.5595192313327311,0.4326026146562315
0.05810992716672858,0.08636110206855163,0.5717985102985941
0.06378228580785805,0.12365787024935593,0.19315049815353635
0.717324416184082,0.2005338555613022,0.4408166201009698
0.9494466750590921,0.1048554145390781,0.8387683342246142
0.7044020322884731,0.3855094163719709,0.9944424790441957
0.9271919956049116,0.942643566714178,0.1673511818934107
0.6802220548539625,0.3438503237899089,0.740599375183514
0.04461519744425646,0.36334054110011516,0.4889817155514945
0.6536494397242186,0.658681024962941,0.4978396267885229
0.7897804413411683,0.38804662657441147,0.6769907196824048
0.30102427531109077,0.6077505682731085,0.08248028358951676
0.6080736706479872,0.30515071432749863,0.02202964827379994
0.3285010839681025,0.35960946035496866,0.6773526618690973
0.5905263174369807,0.0545191556951532,0.7625336617886221
0.7424717647477365,0.3251613946039068,0.9711336282580065
0.5154299309001328,0.7244640715983858,0.8241597362357687
0.8063967864125852,0.36111999756019253,0.5440975269137367
0.33113170450092255,0.5861156945112275,0.20610072851802064
0.9113785719516779,0.6810228340132215,0.04339328181976976
0.6312862094129978,0.24870488940378666,0.7561494246645193
0.028098277953949036,0.93529135299201,0.0675531189414077
0.9781185426760224,0.9090357777442787,0.6960745979925145
0.44367596453943914,0.5742774287648374,0.28814766610597853
0.43389239689988535,0.3499991116814378,0.37180962528247485
0.004525486399139855,0.4552194874939589,0.37437838022321945
0.13972933855653635,0.6423369876348523,0.3961468262145973
0.9287854923440206,0.14359528514194175,0.49164202491971765
0.5446325198062449,0.04131378072586622,0.6409161056259145
0.578162356174184,0.26472640065318964,0.5684193120288958
0.9598777089507495,0.12062599844010202,0.6821360454817345
